t                        x
   0.0000000000000000e+00   3.7219335771634446e-21
   6.0001200024000476e-07   1.1186401679536591e-20
   1.2000240004800095e-06   2.2414116572019006e-20
   1.8000360007200143e-06   3.7425902422513759e-20
   2.4000480009600190e-06   5.6242695891078899e-20
   3.0000600012000238e-06   7.8885546722095207e-20
   3.6000720014400286e-06   1.0537561833946514e-19
   4.2000840016800333e-06   1.3573418844485798e-19
   4.8000960019200381e-06   1.6998264961901644e-19
   5.4001080021600428e-06   2.0814250992613983e-19
   6.0001200024000476e-06   2.5023539352135901e-19
   6.6001320026400524e-06   2.9628304126131855e-19
   7.2001440028800571e-06   3.4630731131788156e-19
   7.8001560031200627e-06   4.0033017979497251e-19
   8.4001680033600666e-06   4.5837374134857373e-19
   9.0001800036000706e-06   5.2046020980989123e-19
   9.6001920038400762e-06   5.8661191881170553e-19
   1.0200204004080082e-05   6.5685132241792323e-19
   1.0800216004320086e-05   7.3120099575634510e-19
   1.1400228004560090e-05   8.0968363565466692e-19
   1.2000240004800095e-05   8.9232206127972942e-19
   1.2600252005040101e-05   9.7913921478003161e-19
   1.3200264005280105e-05   1.0701581619315264e-18
   1.3800276005520109e-05   1.1654020927867125e-18
   1.4400288005760114e-05   1.2648943223270395e-18
   1.5000300006000120e-05   1.3686582911186442e-18
   1.5600312006240125e-05   1.4767175659714317e-18
   1.6200324006480128e-05   1.5890958406015203e-18
   1.6800336006720133e-05   1.7058169362970650e-18
   1.7400348006960139e-05   1.8269048025874789e-18
   1.8000360007200141e-05   1.9523835179160655e-18
   1.8600372007440147e-05   2.0822772903160836e-18
   1.9200384007680152e-05   2.2166104580902553e-18
   1.9800396007920158e-05   2.3554074904937423e-18
   2.0400408008160164e-05   2.4986929884206000e-18
   2.1000420008400166e-05   2.6464916850937307e-18
   2.1600432008640171e-05   2.7988284467583527e-18
   2.2200444008880177e-05   2.9557282733790039e-18
   2.2800456009120179e-05   3.1172162993400915e-18
   2.3400468009360185e-05   3.2833177941500129e-18
   2.4000480009600190e-05   3.4540581631488625e-18
   2.4600492009840196e-05   3.6294629482197397e-18
   2.5200504010080202e-05   3.8095578285036790e-18
   2.5800516010320204e-05   3.9943686211182183e-18
   2.6400528010560209e-05   4.1839212818796239e-18
   2.7000540010800215e-05   4.3782419060287926e-18
   2.7600552011040217e-05   4.5773567289608446e-18
   2.8200564011280223e-05   4.7812921269584292e-18
   2.8800576011520228e-05   4.9900746179287552e-18
   2.9400588011760234e-05   5.2037308621443772e-18
   3.0000600012000240e-05   5.4222876629877434e-18
   3.0600612012240242e-05   5.6457719676995265e-18
   3.1200624012480251e-05   5.8742108681307639e-18
   3.1800636012720253e-05   6.1076316014988151e-18
   3.2400648012960255e-05   6.3460615511471634e-18
   3.3000660013200264e-05   6.5895282473090768e-18
   3.3600672013440267e-05   6.8380593678751464e-18
   3.4200684013680269e-05   7.0916827391647298e-18
   3.4800696013920278e-05   7.3504263367012959e-18
   3.5400708014160280e-05   7.6143182859917298e-18
   3.6000720014400282e-05   7.8833868633095714e-18
   3.6600732014640291e-05   8.1576604964822452e-18
   3.7200744014880293e-05   8.4371677656822759e-18
   3.7800756015120302e-05   8.7219374042225247e-18
   3.8400768015360305e-05   9.0119982993554531e-18
   3.9000780015600307e-05   9.3073794930764547e-18
   3.9600792015840316e-05   9.6081101829312389e-18
   4.0200804016080318e-05   9.9142197228273379e-18
   4.0800816016320327e-05   1.0225737623849696e-17
   4.1400828016560329e-05   1.0542693555080423e-17
   4.2000840016800332e-05   1.0865117344422683e-17
   4.2600852017040341e-05   1.1193038979428769e-17
   4.3200864017280343e-05   1.1526488608132363e-17
   4.3800876017520345e-05   1.1865496539885025e-17
   4.4400888017760354e-05   1.2210093246196917e-17
   4.5000900018000356e-05   1.2560309361581769e-17
   4.5600912018240358e-05   1.2916175684406148e-17
   4.6200924018480367e-05   1.3277723177743014e-17
   4.6800936018720370e-05   1.3644982970229593e-17
   4.7400948018960379e-05   1.4017986356929596e-17
   4.8000960019200381e-05   1.4396764800199816e-17
   4.8600972019440383e-05   1.4781349930561080e-17
   4.9200984019680392e-05   1.5171773547573642e-17
   4.9800996019920394e-05   1.5568067620716968e-17
   5.0401008020160403e-05   1.5970264290274011e-17
   5.1001020020400405e-05   1.6378395868219915e-17
   5.1601032020640408e-05   1.6792494839115243e-17
   5.2201044020880417e-05   1.7212593861003719e-17
   5.2801056021120419e-05   1.7638725766314481e-17
   5.3401068021360421e-05   1.8070923562768927e-17
   5.4001080021600430e-05   1.8509220434292130e-17
   5.4601092021840432e-05   1.8953649741928843e-17
   5.5201104022080435e-05   1.9404245024764151e-17
   5.5801116022320444e-05   1.9861040000848776e-17
   5.6401128022560446e-05   2.0324068568129031e-17
   5.7001140022800455e-05   2.0793364805381490e-17
   5.7601152023040457e-05   2.1268962973152365e-17
   5.8201164023280459e-05   2.1750897514701638e-17
   5.8801176023520468e-05   2.2239203056951944e-17
   5.9401188023760470e-05   2.2733914411442236e-17
   6.0001200024000479e-05   2.3235066575286302e-17
   6.0601212024240482e-05   2.3742694732136046e-17
   6.1201224024480484e-05   2.4256834253149711e-17
   6.1801236024720493e-05   2.4777520697964915e-17
   6.2401248024960502e-05   2.5304789815676625e-17
   6.3001260025200497e-05   2.5838677545820063e-17
   6.3601272025440506e-05   2.6379220019358559e-17
   6.4201284025680515e-05   2.6926453559676369e-17
   6.4801296025920511e-05   2.7480414683576540e-17
   6.5401308026160520e-05   2.8041140102283730e-17
   6.6001320026400529e-05   2.8608666722452165e-17
   6.6601332026640524e-05   2.9183031647178594e-17
   6.7201344026880533e-05   2.9764272177020411e-17
   6.7801356027120542e-05   3.0352425811018841e-17
   6.8401368027360538e-05   3.0947530247727337e-17
   6.9001380027600547e-05   3.1549623386245096e-17
   6.9601392027840556e-05   3.2158743327255831e-17
   7.0201404028080551e-05   3.2774928374071732e-17
   7.0801416028320560e-05   3.3398217033682679e-17
   7.1401428028560569e-05   3.4028648017810768e-17
   7.2001440028800564e-05   3.4666260243970106e-17
   7.2601452029040573e-05   3.5311092836531934e-17
   7.3201464029280582e-05   3.5963185127795130e-17
   7.3801476029520591e-05   3.6622576659062105e-17
   7.4401488029760587e-05   3.7289307181720016e-17
   7.5001500030000596e-05   3.7963416658327562e-17
   7.5601512030240605e-05   3.8644945263707099e-17
   7.6201524030480600e-05   3.9333933386042310e-17
   7.6801536030720609e-05   4.0030421627981413e-17
   7.7401548030960618e-05   4.0734450807745839e-17
   7.8001560031200614e-05   4.1446061960244532e-17
   7.8601572031440623e-05   4.2165296338193816e-17
   7.9201584031680632e-05   4.2892195413242922e-17
   7.9801596031920627e-05   4.3626800877105095e-17
   8.0401608032160636e-05   4.4369154642694449e-17
   8.1001620032400645e-05   4.5119298845268491e-17
   8.1601632032640654e-05   4.5877275843576368e-17
   8.2201644032880650e-05   4.6643128221012916e-17
   8.2801656033120659e-05   4.7416898786778427e-17
   8.3401668033360668e-05   4.8198630577044307e-17
   8.4001680033600663e-05   4.8988366856124537e-17
   8.4601692033840672e-05   4.9786151117653004e-17
   8.5201704034080681e-05   5.0592027085766770e-17
   8.5801716034320676e-05   5.1406038716295189e-17
   8.6401728034560685e-05   5.2228230197955102e-17
   8.7001740034800694e-05   5.3058645953551911e-17
   8.7601752035040690e-05   5.3897330641186721e-17
   8.8201764035280699e-05   5.4744329155469538e-17
   8.8801776035520708e-05   5.5599686628738494e-17
   8.9401788035760703e-05   5.6463448432285215e-17
   9.0001800036000712e-05   5.7335660177586361e-17
   9.0601812036240721e-05   5.8216367717541177e-17
   9.1201824036480717e-05   5.9105617147715453e-17
   9.1801836036720726e-05   6.0003454807591533e-17
   9.2401848036960735e-05   6.0909927281824666e-17
   9.3001860037200744e-05   6.1825081401505614e-17
   9.3601872037440739e-05   6.2748964245429557e-17
   9.4201884037680748e-05   6.3681623141371376e-17
   9.4801896037920757e-05   6.4623105667367351e-17
   9.5401908038160753e-05   6.5573459653003105e-17
   9.6001920038400762e-05   6.6532733180708205e-17
   9.6601932038640771e-05   6.7500974587057062e-17
   9.7201944038880766e-05   6.8478232464076375e-17
   9.7801956039120775e-05   6.9464555660559204e-17
   9.8401968039360784e-05   7.0459993283385426e-17
   9.9001980039600780e-05   7.1464594698848940e-17
   9.9601992039840789e-05   7.2478409533991439e-17
   1.0020200404008080e-04   7.3501487677942839e-17
   1.0080201604032081e-04   7.4533879283268411e-17
   1.0140202804056080e-04   7.5575634767322626e-17
   1.0200204004080081e-04   7.6626804813609741e-17
   1.0260205204104082e-04   7.7687440373151204e-17
   1.0320206404128082e-04   7.8757592665859939e-17
   1.0380207604152082e-04   7.9837313181921279e-17
   1.0440208804176083e-04   8.0926653683181042e-17
   1.0500210004200083e-04   8.2025666204540352e-17
   1.0560211204224084e-04   8.3134403055357501e-17
   1.0620212404248085e-04   8.4252916820856710e-17
   1.0680213604272084e-04   8.5381260363544047e-17
   1.0740214804296085e-04   8.6519486824630262e-17
   1.0800216004320086e-04   8.7667649625460830e-17
   1.0860217204344086e-04   8.8825802468952996e-17
   1.0920218404368086e-04   8.9993999341040072e-17
   1.0980219604392087e-04   9.1172294512122900e-17
   1.1040220804416087e-04   9.2360742538528546e-17
   1.1100222004440088e-04   9.3559398263976222e-17
   1.1160223204464089e-04   9.4768316821050559e-17
   1.1220224404488090e-04   9.5987553632682114e-17
   1.1280225604512089e-04   9.7217164413635422e-17
   1.1340226804536090e-04   9.8457205172004266e-17
   1.1400228004560091e-04   9.9707732210714499e-17
   1.1460229204584090e-04   1.0096880212903426e-16
   1.1520230404608091e-04   1.0224047182409177e-16
